###############################################
## SELF-CONSISTENT PROTEIN DOMAIN ##
## CLASSIFICATION OF STRUCTURES ##
## For Step 2111 at similarity 6.78 ##
############################################### 
## EVOLUTIVE NETWORK ##
## FROM SIMILARITY 6.78 TO 4 ## 	
###############################################
# More details at: 
# Pascual-García A, Abia D, Ortiz ÁR, Bastolla U, 2009
# Cross-Over between Discrete and Continuous Protein Structure Space: Insights into Automatic Classification and Networks of Protein Structures
# PLoS Comput Biol 5(3): e1000331. doi:10.1371/journal.pcbi.1000331
###############################################
# ***** Set Features:	 #
# * Alignment: Mammoth Multiple.	 #
# * Similarity Score: Contact Overlap 6 #
# * Score Length Normalization: Gaussian #
# * Clustering: Average Linkage	 # 
# * Set: SCOP-CATH Consensus (2890 domains) #
# ***** #
############################################### 
#
# 
# Link Code Meaning:
# Link=1 There is a superfamily relation for SCOP
# Link=2 There is a superfamily relation for CATH
# Link=3 There is a superfamily relation for both SCOP and CATH
#
#Similarity IdClusterA IdClusterB LinkCode 
1.06273 Clus>238 Clus>554 2
1.23943 Clus>238 Clus>555 2
1.66223 Clus>238 Clus>556 2
2.25143 Clus>238 Clus>557 2
5.70710 Clus>238 Clus>559 3
6.44460 Clus>238 Clus>560 3
5.39116 Clus>240 Clus>361 2
5.38736 Clus>240 Clus>628 2
4.38005 Clus>246 Clus>373 1
6.19627 Clus>247 Clus>302 3
0.454050 Clus>248 Clus>534 3
1.63705 Clus>248 Clus>535 3
5.15625 Clus>248 Clus>536 3
3.15123 Clus>249 Clus>403 3
5.16020 Clus>250 Clus>426 3
5.63157 Clus>250 Clus>701 3
1.08815 Clus>250 Clus>702 1
1.24360 Clus>253 Clus>778 1
2.21438 Clus>258 Clus>288 3
3.89645 Clus>258 Clus>317 3
5.92094 Clus>258 Clus>318 3
5.01381 Clus>258 Clus>322 3
4.97255 Clus>258 Clus>355 3
1.80323 Clus>258 Clus>409 3
4.70220 Clus>258 Clus>541 3
3.20540 Clus>258 Clus>543 3
4.10165 Clus>258 Clus>544 2
0.506750 Clus>258 Clus>546 3
2.75760 Clus>258 Clus>548 3
2.65895 Clus>258 Clus>554 2
2.40760 Clus>258 Clus>555 2
3.80835 Clus>258 Clus>556 2
3.88960 Clus>258 Clus>557 2
2.08125 Clus>258 Clus>559 3
4.80005 Clus>258 Clus>560 3
4.48949 Clus>259 Clus>377 2
6.16515 Clus>260 Clus>336 3
2.58920 Clus>261 Clus>270 2
1.61337 Clus>261 Clus>663 2
1.02203 Clus>261 Clus>664 2
3.31410 Clus>261 Clus>665 2
2.34080 Clus>261 Clus>666 2
0.755633 Clus>261 Clus>667 2
4.77060 Clus>267 Clus>376 3
4.56115 Clus>267 Clus>515 3
2.19195 Clus>267 Clus>516 3
2.81445 Clus>267 Clus>517 3
5.75530 Clus>267 Clus>518 3
4.29096 Clus>269 Clus>325 1
